"Freq [MHz]","dB(S(1,1)) []"
465.2,-2.13699325540409
465.3,-2.14169834507971
465.4,-2.14641528935823
465.5,-2.15114412087653
465.6,-2.15588487236476
465.7,-2.16063757664654
465.8,-2.16540226663928
465.9,-2.17017897535441
466,-2.17496773589769
466.1,-2.17976858146943
466.2,-2.1845815453648
466.3,-2.18940666097406
466.4,-2.19424396178287
466.5,-2.19909348137256
466.6,-2.20395525342035
466.7,-2.20882931169969
466.8,-2.21371569008051
466.9,-2.21861442252946
467,-2.22352554311026
467.1,-2.2284490859839
467.2,-2.23338508540897
467.3,-2.2383335757419
467.4,-2.24329459143729
467.5,-2.24826816704814
467.6,-2.25325433722614
467.7,-2.258253136722
467.8,-2.26326460038564
467.9,-2.2682887631666
468,-2.27332566011419
468.1,-2.27837532637788
468.2,-2.28343779720752
468.3,-2.28851310795367
468.4,-2.29360129406787
468.5,-2.29870239110292
468.6,-2.30381643471318
468.7,-2.30894346065488
468.8,-2.31408350478637
468.9,-2.31923660306845
469,-2.32440279156464
469.1,-2.3295821064415
469.2,-2.33477458396887
469.3,-2.33998026052026
469.4,-2.34519917257305
469.5,-2.35043135670885
469.6,-2.35567684961378
469.7,-2.36093568807876
469.8,-2.36620790899983
469.9,-2.37149354937845
470,-2.37679264632178
470.1,-2.38210523704302
470.2,-2.38743135886167
470.3,-2.3927710492039
470.4,-2.39812434560279
470.5,-2.40349128569867
470.6,-2.40887190723943
470.7,-2.41426624808083
470.8,-2.41967434618683
470.9,-2.42509623962982
471,-2.43053196659104
471.1,-2.43598156536084
471.2,-2.44144507433899
471.3,-2.44692253203502
471.4,-2.45241397706853
471.5,-2.45791944816947
471.6,-2.46343898417854
471.7,-2.46897262404743
471.8,-2.4745204068392
471.9,-2.48008237172854
472,-2.48565855800218
472.1,-2.49124900505914
472.2,-2.49685375241107
472.3,-2.50247283968262
472.4,-2.50810630661172
472.5,-2.51375419304991
472.6,-2.51941653896273
472.7,-2.52509338442999
472.8,-2.53078476964609
472.9,-2.53649073492041
473,-2.54221132067765
473.1,-2.54794656745807
473.2,-2.55369651591796
473.3,-2.55946120682986
473.4,-2.56524068108297
473.5,-2.57103497968349
473.6,-2.57684414375491
473.7,-2.5826682145384
473.8,-2.58850723339316
473.9,-2.59436124179673
474,-2.60023028134534
474.1,-2.60611439375429
474.2,-2.61201362085829
474.3,-2.61792800461177
474.4,-2.62385758708929
474.5,-2.62980241048586
474.6,-2.63576251711728
474.7,-2.64173794942054
474.8,-2.64772874995414
474.9,-2.65373496139848
475,-2.65975662655617
475.1,-2.66579378835243
475.2,-2.67184648983546
475.3,-2.67791477417676
475.4,-2.68399868467154
475.5,-2.69009826473906
475.6,-2.696213557923
475.7,-2.70234460789182
475.8,-2.70849145843918
475.9,-2.71465415348425
476,-2.72083273707209
476.1,-2.72702725337407
476.2,-2.73323774668819
476.3,-2.73946426143951
476.4,-2.74570684218049
476.5,-2.75196553359137
476.6,-2.75824038048058
476.7,-2.76453142778508
476.8,-2.77083872057081
476.9,-2.77716230403299
477,-2.78350222349658
477.1,-2.78985852441664
477.2,-2.7962312523787
477.3,-2.8026204530992
477.4,-2.80902617242582
477.5,-2.81544845633795
477.6,-2.82188735094701
477.7,-2.82834290249691
477.8,-2.83481515736439
477.9,-2.84130416205949
478,-2.8478099632259
478.1,-2.85433260764136
478.2,-2.8608721422181
478.3,-2.86742861400326
478.4,-2.87400207017921
478.5,-2.88059255806407
478.6,-2.88720012511206
478.7,-2.8938248189139
478.8,-2.90046668719728
478.9,-2.90712577782724
479,-2.9138021388066
479.1,-2.92049581827636
479.2,-2.92720686451617
479.3,-2.93393532594468
479.4,-2.94068125112003
479.5,-2.94744468874027
479.6,-2.95422568764373
479.7,-2.96102429680955
479.8,-2.967840565358
479.9,-2.97467454255101
480,-2.98152627779255
480.1,-2.98839582062908
480.2,-2.99528322075
480.3,-3.00218852798809
480.4,-3.00911179231993
480.5,-3.01605306386639
480.6,-3.02301239289301
480.7,-3.02998982981052
480.8,-3.03698542517526
480.9,-3.04399922968962
481,-3.05103129420249
481.1,-3.05808166970978
481.2,-3.06515040735478
481.3,-3.0722375584287
481.4,-3.07934317437109
481.5,-3.08646730677033
481.6,-3.09361000736408
481.7,-3.10077132803975
481.8,-3.10795132083497
481.9,-3.11515003793807
482,-3.12236753168855
482.1,-3.12960385457753
482.2,-3.13685905924831
482.3,-3.14413319849675
482.4,-3.15142632527181
482.5,-3.15873849267602
482.6,-3.16606975396598
482.7,-3.17342016255283
482.8,-3.18078977200274
482.9,-3.18817863603744
483,-3.19558680853467
483.1,-3.20301434352869
483.2,-3.21046129521082
483.3,-3.21792771792989
483.4,-3.22541366619275
483.5,-3.23291919466481
483.6,-3.24044435817054
483.7,-3.24798921169395
483.8,-3.25555381037913
483.9,-3.26313820953078
484,-3.2707424646147
484.1,-3.27836663125831
484.2,-3.28601076525122
484.3,-3.29367492254568
484.4,-3.30135915925716
484.5,-3.30906353166492
484.6,-3.31678809621241
484.7,-3.32453290950796
484.8,-3.3322980283252
484.9,-3.34008350960367
485,-3.34788941044934
485.1,-3.35571578813516
485.2,-3.36356270010159
485.3,-3.37143020395717
485.4,-3.37931835747908
485.5,-3.38722721861366
485.6,-3.39515684547702
485.7,-3.40310729635557
485.8,-3.41107862970658
485.9,-3.41907090415875
486,-3.42708417851281
486.1,-3.43511851174204
486.2,-3.44317396299287
486.3,-3.45125059158549
486.4,-3.45934845701439
486.5,-3.46746761894891
486.6,-3.47560813723393
486.7,-3.48377007189037
486.8,-3.4919534831158
486.9,-3.50015843128506
487,-3.50838497695085
487.1,-3.51663318084429
487.2,-3.52490310387559
487.3,-3.53319480713461
487.4,-3.54150835189147
487.5,-3.54984379959718
487.6,-3.55820121188427
487.7,-3.56658065056735
487.8,-3.57498217764381
487.9,-3.58340585529438
488,-3.59185174588377
488.1,-3.60031991196134
488.2,-3.6088104162617
488.3,-3.61732332170533
488.4,-3.62585869139928
488.5,-3.63441658863776
488.6,-3.64299707690278
488.7,-3.65160021986487
488.8,-3.66022608138367
488.9,-3.66887472550859
489,-3.67754621647948
489.1,-3.68624061872734
489.2,-3.69495799687491
489.3,-3.70369841573737
489.4,-3.71246194032304
489.5,-3.72124863583402
489.6,-3.73005856766689
489.7,-3.73889180141339
489.8,-3.74774840286111
489.9,-3.75662843799417
490,-3.76553197299392
490.1,-3.77445907423965
490.2,-3.78340980830928
490.3,-3.79238424198006
490.4,-3.8013824422293
490.5,-3.81040447623504
490.6,-3.81945041137684
490.7,-3.82852031523641
490.8,-3.83761425559841
490.9,-3.84673230045112
491,-3.85587451798723
491.1,-3.86504097660451
491.2,-3.8742317449066
491.3,-3.88344689170372
491.4,-3.89268648601348
491.5,-3.9019505970615
491.6,-3.91123929428231
491.7,-3.92055264732002
491.8,-3.92989072602912
491.9,-3.93925360047522
492,-3.94864134093584
492.1,-3.95805401790119
492.2,-3.96749170207491
492.3,-3.97695446437492
492.4,-3.98644237593412
492.5,-3.99595550810128
492.6,-4.00549393244176
492.7,-4.01505772073831
492.8,-4.02464694499193
492.9,-4.03426167742265
493,-4.0439019904703
493.1,-4.0535679567954
493.2,-4.06325964927993
493.3,-4.07297714102816
493.4,-4.08272050536753
493.5,-4.09248981584939
493.6,-4.10228514624993
493.7,-4.11210657057097
493.8,-4.12195416304085
493.9,-4.13182799811519
494,-4.14172815047789
494.1,-4.15165469504186
494.2,-4.16160770694997
494.3,-4.17158726157586
494.4,-4.18159343452485
494.5,-4.19162630163486
494.6,-4.20168593897716
494.7,-4.21177242285743
494.8,-4.22188582981652
494.9,-4.23202623663141
495,-4.24219372031611
495.1,-4.25238835812257
495.2,-4.26261022754154
495.3,-4.27285940630358
495.4,-4.28313597237991
495.5,-4.29344000398335
495.6,-4.30377157956929
495.7,-4.3141307778366
495.8,-4.32451767772853
495.9,-4.33493235843375
496,-4.34537489938725
496.1,-4.35584538027126
496.2,-4.36634388101629
496.3,-4.37687048180207
496.4,-4.38742526305847
496.5,-4.39800830546655
496.6,-4.40861968995954
496.7,-4.41925949772375
496.8,-4.42992781019965
496.9,-4.44062470908284
497,-4.45135027632504
497.1,-4.46210459413509
497.2,-4.47288774498003
497.3,-4.48369981158604
497.4,-4.4945408769395
497.5,-4.50541102428804
497.6,-4.51631033714154
497.7,-4.52723889927318
497.8,-4.53819679472052
497.9,-4.54918410778652
498,-4.56020092304057
498.1,-4.57124732531964
498.2,-4.58232339972926
498.3,-4.59342923164465
498.4,-4.60456490671176
498.5,-4.61573051084842
498.6,-4.62692613024533
498.7,-4.63815185136724
498.8,-4.64940776095403
498.9,-4.66069394602182
499,-4.67201049386404
499.1,-4.68335749205265
499.2,-4.69473502843911
499.3,-4.7061431911557
499.4,-4.71758206861648
499.5,-4.72905174951854
499.6,-4.74055232284311
499.7,-4.75208387785673
499.8,-4.76364650411238
499.9,-4.77524029145067
500,-4.786865330001
500.1,-4.79852171018275
500.2,-4.81020952270642
500.3,-4.82192885857487
500.4,-4.83367980908452
500.5,-4.84546246582645
500.6,-4.85727692068773
500.7,-4.86912326585256
500.8,-4.88100159380348
500.9,-4.89291199732266
501,-4.90485456949306
501.1,-4.91682940369965
501.2,-4.92883659363074
501.3,-4.94087623327915
501.4,-4.95294841694347
501.5,-4.96505323922935
501.6,-4.97719079505074
501.7,-4.98936117963112
501.8,-5.00156448850487
501.9,-5.01380081751848
502,-5.0260702628318
502.1,-5.03837292091945
502.2,-5.05070888857203
502.3,-5.06307826289739
502.4,-5.07548114132206
502.5,-5.08791762159247
502.6,-5.10038780177626
502.7,-5.11289178026368
502.8,-5.12542965576887
502.9,-5.1380015273312
503,-5.15060749431661
503.1,-5.163247656419
503.2,-5.17592211366151
503.3,-5.18863096639794
503.4,-5.20137431531408
503.5,-5.21415226142912
503.6,-5.22696490609697
503.7,-5.23981235100767
503.8,-5.25269469818879
503.9,-5.26561205000677
504,-5.27856450916838
504.1,-5.2915521787221
504.2,-5.30457516205947
504.3,-5.3176335629166
504.4,-5.33072748537552
504.5,-5.34385703386558
504.6,-5.35702231316496
504.7,-5.37022342840206
504.8,-5.38346048505687
504.9,-5.39673358896254
505,-5.41004284630672
505.1,-5.42338836363304
505.2,-5.43677024784258
505.3,-5.45018860619535
505.4,-5.4636435463117
505.5,-5.47713517617378
505.6,-5.49066360412709
505.7,-5.50422893888191
505.8,-5.51783128951474
505.9,-5.53147076546985
506,-5.54514747656077
506.1,-5.55886153297167
506.2,-5.57261304525904
506.3,-5.58640212435302
506.4,-5.60022888155898
506.5,-5.61409342855905
506.6,-5.62799587741355
506.7,-5.64193634056258
506.8,-5.65591493082749
506.9,-5.6699317614124
507,-5.68398694590575
